text
"In 1993, Manchester United won the championship with 1222 goals. The runner-up was Aston Villa."
"In 1994, Manchester United won the championship with 1195 goals. The runner-up was Blackburn Rovers."
"In 1995, Blackburn Rovers won the championship with 1195 goals. The runner-up was Manchester United."
"In 1996, Manchester United won the championship with 988 goals. The runner-up was Newcastle United."
"In 1997, Manchester United won the championship with 970 goals. The runner-up was Newcastle United."
"In 1998, Arsenal won the championship with 1019 goals. The runner-up was Manchester United."
"In 1999, Manchester United won the championship with 959 goals. The runner-up was Arsenal."
"In 2000, Manchester United won the championship with 1060 goals. The runner-up was Arsenal."
"In 2001, Manchester United won the championship with 992 goals. The runner-up was Arsenal."
"In 2002, Arsenal won the championship with 1001 goals. The runner-up was Liverpool."
"In 2003, Manchester United won the championship with 1000 goals. The runner-up was Arsenal."
"In 2004, Arsenal won the championship with 1012 goals. The runner-up was Chelsea."
"In 2005, Chelsea won the championship with 975 goals. The runner-up was Arsenal."
"In 2006, Chelsea won the championship with 944 goals. The runner-up was Manchester United."
"In 2007, Manchester United won the championship with 931 goals. The runner-up was Chelsea."
"In 2008, Manchester United won the championship with 1002 goals. The runner-up was Chelsea."
"In 2009, Manchester United won the championship with 942 goals. The runner-up was Liverpool."
"In 2010, Chelsea won the championship with 1053 goals. The runner-up was Manchester United."
"In 2011, Manchester United won the championship with 1063 goals. The runner-up was Chelsea."
"In 2012, Manchester City won the championship with 1066 goals. The runner-up was Manchester United."
"In 2013, Manchester United won the championship with 1063 goals. The runner-up was Manchester City."
"In 2014, Manchester City won the championship with 1052 goals. The runner-up was Liverpool."
"In 2015, Chelsea won the championship with 975 goals. The runner-up was Manchester City."
"In 2016, Leicester City won the championship with 1026 goals. The runner-up was Arsenal."
"In 2017, Chelsea won the championship with 1064 goals. The runner-up was Tottenham Hotspur."
"In 2018, Manchester City won the championship with 1018 goals. The runner-up was Manchester United."
"In 2019, Manchester City won the championship with 1072 goals. The runner-up was Liverpool."
"In 2020, Liverpool won the championship with 1034 goals. The runner-up was Manchester City."
"In 2021, Manchester City won the championship with 1024 goals. The runner-up was Manchester United."
"In 2022, Manchester City won the championship with 1071 goals. The runner-up was Liverpool."
"In 2023, Manchester City won the championship with 1084 goals. The runner-up was Arsenal."
"In 2024, Manchester City won the championship with 1246 goals. The runner-up was Arsenal."
"On 1992-08-15, Coventry City played against Middlesbrough. The match ended 2-1 with H as the final result."
"On 1992-08-15, Leeds United played against Wimbledon. The match ended 2-1 with H as the final result."
"On 1992-08-15, Sheffield Utd played against Manchester Utd. The match ended 2-1 with H as the final result."
"On 1992-08-15, Crystal Palace played against Blackburn. The match ended 3-3 with D as the final result."
"On 1992-08-15, Arsenal played against Norwich City. The match ended 2-4 with A as the final result."
"On 1992-08-15, Ipswich Town played against Aston Villa. The match ended 1-1 with D as the final result."
"On 1992-08-15, Everton played against Sheffield Weds. The match ended 1-1 with D as the final result."
"On 1992-08-15, Southampton played against Tottenham. The match ended 0-0 with D as the final result."
"On 1992-08-15, Chelsea played against Oldham Athletic. The match ended 1-1 with D as the final result."
"On 1992-08-16, Nott'ham Forest played against Liverpool. The match ended 1-0 with H as the final result."
"On 1992-08-17, Manchester City played against QPR. The match ended 1-1 with D as the final result."
"On 1992-08-18, Blackburn played against Arsenal. The match ended 1-0 with H as the final result."
"On 1992-08-18, Wimbledon played against Ipswich Town. The match ended 0-1 with A as the final result."
"On 1992-08-19, Tottenham played against Coventry City. The match ended 0-2 with A as the final result."
"On 1992-08-19, Liverpool played against Sheffield Utd. The match ended 2-1 with H as the final result."
"On 1992-08-19, Aston Villa played against Leeds United. The match ended 1-1 with D as the final result."
"On 1992-08-19, Oldham Athletic played against Crystal Palace. The match ended 1-1 with D as the final result."
"On 1992-08-19, Middlesbrough played against Manchester City. The match ended 2-0 with H as the final result."
"On 1992-08-19, Norwich City played against Chelsea. The match ended 2-1 with H as the final result."
